time,x,y,z,cogx,cogy,cogz,area,forceX,forceY,forceZ
0.564062356948853,0.587758205596549,0.0283751166101725,0.374377052561833,0.186868610120301,0.00725236109948747,0.389000243688337,0.238854476902045,0.97630829689914,0.0378769363345286,-18.951542037838
0.582503795623779,0.592611384757028,0.02876838478464,0.372317279001148,0.1892613071598,0.00741685245037818,0.387622507106085,0.239528430392325,1.27007396574652,-0.105879597079876,-18.9688548971905
0.600850820541382,0.598389283453639,0.029050194038428,0.369218679053119,0.192187792682736,0.00755689329578485,0.385759402703915,0.240092159475691,0.956643299267878,0.327275283882906,-19.3020016941259
0.619225740432739,0.603719754422109,0.0293281313364494,0.366582506503562,0.194845202758603,0.00769018736132314,0.384081214623848,0.240639746740366,1.10383080235622,0.227110187186581,-20.004019732549
0.637529134750366,0.609108066329872,0.0296501041970806,0.363898569634978,0.19752088215832,0.00783768824993297,0.382356837537363,0.24115036697965,0.804594924165568,0.0719142569174016,-21.0563665064156
0.670332670211792,0.618424357779363,0.030372481261167,0.358778155804159,0.202162645988895,0.0081480805676176,0.379203967951163,0.241811132631904,0.725498687219386,0.41355801194438,-21.5973625397137
0.695281028747559,0.625985076550016,0.0309455580074898,0.354392461319458,0.20591509964003,0.00839599291427723,0.376547628943621,0.242198539769385,0.877123547083502,0.732893725990543,-21.0941239173278
0.713900804519653,0.630995276807433,0.0311979407993131,0.351312082949554,0.208420010410185,0.00851963372065937,0.374681566670166,0.242337997206022,0.478484420039103,0.702764870079597,-23.9267631463116
0.741602659225464,0.638945976957833,0.0317354810223447,0.345894426115492,0.212398700792934,0.00876167311280578,0.371579138695207,0.242351883317482,0.216893341831401,0.49931088919147,-23.7879336739161
0.765700340270996,0.645824074765735,0.032594769013333,0.340790149900385,0.215863577485264,0.0091044977556233,0.368715856316329,0.242152083738302,0.517738678844097,-0.243529660708032,-22.6438409574076
0.786297082901001,0.651266682168143,0.03310677159954,0.336433836612311,0.218611223345961,0.00932136406755698,0.366340747639525,0.24184402376081,0.191005539425038,-0.601908018664755,-25.0539951902814
