Time,Position,Velocity
1723672562.2442012,"[ 0.00000000e+00 -2.32295824e-01  1.14996987e+00 -3.14151622e+00
 -2.64710223e-01  6.28763369e-05 -4.50275027e-01  1.57079366e+00]","[ 0.00000000e+00  2.20939739e-01  7.34751581e-02  5.29497611e-06
  2.40926946e-01 -1.85325998e-05  4.53223579e-01  0.00000000e+00]"
1723672562.2453294,"[ 0.00000000e+00 -2.32079043e-01  1.15004564e+00 -3.14151622e+00
 -2.64474267e-01  6.28763369e-05 -4.49829746e-01  1.57079366e+00]","[ 0.00000000e+00  2.19859344e-01  7.67076863e-02  5.29097849e-06
  2.39063898e-01 -1.85325998e-05  4.51145414e-01  0.00000000e+00]"
1723672562.247067,"[ 0.00000000e+00 -2.31629501e-01  1.15020223e+00 -3.14151622e+00
 -2.64005550e-01  6.28763369e-05 -4.48903499e-01  1.57079366e+00]","[ 0.00000000e+00  2.18965454e-01  8.04890505e-02  0.00000000e+00
  2.36605385e-01 -1.85184257e-05  4.53223579e-01  0.00000000e+00]"
1723672562.2488842,"[ 0.00000000e+00 -2.31414318e-01  1.15029131e+00 -3.14151622e+00
 -2.63755213e-01  6.28763369e-05 -4.48452359e-01  1.57079366e+00]","[ 0.00000000e+00  2.18460319e-01  8.37566660e-02  0.00000000e+00
  2.35722347e-01 -1.85324169e-05  4.57545123e-01  0.00000000e+00]"
1723672562.249944,"[ 0.00000000e+00 -2.30983418e-01  1.15046628e+00 -3.14151622e+00
 -2.63300878e-01  6.28763369e-05 -4.47561798e-01  1.57079366e+00]","[ 0.00000000e+00  2.19319155e-01  8.94022679e-02  0.00000000e+00
  2.29582862e-01 -1.85186086e-05  4.49898489e-01  0.00000000e+00]"
1723672562.2517307,"[ 0.00000000e+00 -2.30751191e-01  1.15055683e+00 -3.14151622e+00
 -2.63075575e-01  6.28763369e-05 -4.47088288e-01  1.57079366e+00]","[ 0.00000000e+00  2.18670093e-01  9.18331430e-02  0.00000000e+00
  2.28502467e-01 -1.85186086e-05  4.45446882e-01  0.00000000e+00]"
1723672562.253469,"[ 0.00000000e+00 -2.30321889e-01  1.15075470e+00 -3.14151622e+00
 -2.62606858e-01  6.28763369e-05 -4.46214771e-01  1.57079366e+00]","[ 0.00000000e+00  2.18460319e-01  9.88556741e-02  0.00000000e+00
  2.29042656e-01 -1.85324169e-05  4.43141383e-01  0.00000000e+00]"
1723672562.2546334,"[ 0.00000000e+00 -2.30107238e-01  1.15085564e+00 -3.14151622e+00
 -2.62382087e-01  6.28763369e-05 -4.45781209e-01  1.57079366e+00]","[ 0.00000000e+00  2.17477996e-01  1.02366944e-01  0.00000000e+00
  2.27962262e-01 -1.85184257e-05  4.40612446e-01  0.00000000e+00]"
1723672562.2563238,"[ 0.00000000e+00 -2.29664621e-01  1.15107841e+00 -3.14151622e+00
 -2.61912306e-01  6.28763369e-05 -4.44886919e-01  1.57079366e+00]","[ 0.00000000e+00  2.15537783e-01  1.11820358e-01  0.00000000e+00
  2.29703902e-01 -1.85184257e-05  4.35937333e-01  0.00000000e+00]"
1723672562.2574968,"[ 0.00000000e+00 -2.29452633e-01  1.15119452e+00 -3.14151622e+00
 -2.61685937e-01  6.28763369e-05 -4.44456020e-01  1.57079366e+00]","[ 0.00000000e+00  2.14997594e-01  1.17762503e-01  0.00000000e+00
  2.29582862e-01 -1.85324169e-05  4.36574927e-01  0.00000000e+00]"
1723672562.2592068,"[ 0.00000000e+00 -2.29014277e-01  1.15143754e+00 -3.14151622e+00
 -2.61235863e-01  6.28763369e-05 -4.43549480e-01  1.57079366e+00]","[ 0.00000000e+00  2.13453743e-01  1.25325232e-01  0.00000000e+00
  2.27422073e-01 -1.85184257e-05  4.44361710e-01  0.00000000e+00]"
1723672562.2608495,"[ 0.00000000e+00 -2.28592432e-01  1.15170519e+00 -3.14151622e+00
 -2.60775669e-01  6.28763369e-05 -4.42670104e-01  1.57079366e+00]","[ 0.00000000e+00  2.13917199e-01  1.31267377e-01  0.00000000e+00
  2.23640717e-01 -1.85324169e-05  4.45660834e-01  0.00000000e+00]"
1723672562.2625754,"[ 0.00000000e+00 -2.28380977e-01  1.15183701e+00 -3.14151622e+00
 -2.60556757e-01  6.28763369e-05 -4.42195528e-01  1.57079366e+00]","[ 0.00000000e+00  2.14457388e-01  1.33698252e-01  0.00000000e+00
  2.22020133e-01 -1.85184257e-05  4.46869409e-01  0.00000000e+00]"
1723672562.2643063,"[ 0.00000000e+00 -2.27939425e-01  1.15212037e+00 -3.14151622e+00
 -2.60120531e-01  6.28763369e-05 -4.41309761e-01  1.57079366e+00]","[ 0.00000000e+00  2.16162411e-01  1.39678039e-01  0.00000000e+00
  2.20082551e-01 -1.05819570e-05  4.48902001e-01  0.00000000e+00]"
1723672562.2660317,"[ 0.00000000e+00 -2.27510123e-01  1.15240773e+00 -3.14151622e+00
 -2.59670457e-01  6.28763369e-05 -4.40386177e-01  1.57079366e+00]","[ 0.00000000e+00  2.18557292e-01  1.46933022e-01  0.00000000e+00
  2.19859344e-01 -1.05819570e-05  4.51383234e-01  0.00000000e+00]"
1723672562.2672257,"[ 0.00000000e+00 -2.27279494e-01  1.15255380e+00 -3.14151622e+00
 -2.59453676e-01  6.28763369e-05 -4.39937168e-01  1.57079366e+00]","[ 0.00000000e+00  2.17165490e-01  1.48013417e-01  0.00000000e+00
  2.19859344e-01 -1.05819570e-05  4.55384334e-01  0.00000000e+00]"
1723672562.2688742,"[ 0.00000000e+00 -2.26854453e-01  1.15286419e+00 -3.14151622e+00
 -2.59004134e-01  6.28763369e-05 -4.39037019e-01  1.57079366e+00]","[ 0.00000000e+00  2.14457388e-01  1.51794789e-01  0.00000000e+00
  2.18778950e-01 -1.05900569e-05  4.57081534e-01  0.00000000e+00]"
1723672562.2706327,"[ 0.00000000e+00 -2.26641933e-01  1.15301573e+00 -3.14151622e+00
 -2.58788418e-01  6.28763369e-05 -4.38588010e-01  1.57079366e+00]","[ 0.00000000e+00  2.15537783e-01  1.53529755e-01  0.00000000e+00
  2.18557292e-01 -1.05820616e-05  4.55384334e-01  0.00000000e+00]"
1723672562.2723353,"[ 0.00000000e+00 -2.26204109e-01  1.15332013e+00 -3.14151622e+00
 -2.58358051e-01  6.28763369e-05 -4.37646317e-01  1.57079366e+00]","[ 0.00000000e+00  2.13377011e-01  1.53955562e-01  0.00000000e+00
  2.18238761e-01 -1.05819570e-05  4.61326479e-01  0.00000000e+00]"
1723672562.2740977,"[ 0.00000000e+00 -2.25995317e-01  1.15348551e+00 -3.14151622e+00
 -2.58127421e-01  6.28763369e-05 -4.37189851e-01  1.57079366e+00]","[ 0.00000000e+00  2.11756427e-01  1.55727213e-01  0.00000000e+00
  2.17165490e-01 -1.05899522e-05  4.62947079e-01  0.00000000e+00]"
1723672562.2751768,"[ 0.00000000e+00 -2.25572940e-01  1.15379270e+00 -3.14151622e+00
 -2.57696522e-01  6.28763369e-05 -4.36243363e-01  1.57079366e+00]","[ 0.00000000e+00  2.14997594e-01  1.56656540e-01  5.29897933e-06
  2.19319155e-01 -1.05819570e-05  4.61866668e-01  0.00000000e+00]"
1723672562.2774606,"[ 0.00000000e+00 -2.25132986e-01  1.15410722e+00 -3.14151622e+00
 -2.57240589e-01  6.28763369e-05 -4.35325105e-01  1.57079366e+00]","[ 0.00000000e+00  2.14997594e-01  1.52467221e-01  5.30298914e-06
  2.23976109e-01 -1.05819570e-05  4.66188246e-01  0.00000000e+00]"
1723672562.2785902,"[ 0.00000000e+00 -2.24920466e-01  1.15425689e+00 -3.14151622e+00
 -2.57017948e-01  6.28763369e-05 -4.34826562e-01  1.57079366e+00]","[ 0.00000000e+00  2.15537783e-01  1.51794789e-01  0.00000000e+00
  2.25801489e-01 -1.05819570e-05  4.69438568e-01  0.00000000e+00]"
1723672562.2803302,"[ 0.00000000e+00 -2.24480511e-01  1.15455131e+00 -3.14151622e+00
 -2.56570005e-01  6.28763369e-05 -4.33901380e-01  1.57079366e+00]","[ 0.00000000e+00  2.14657808e-01  1.49634000e-01  0.00000000e+00
  2.27962262e-01 -1.05819570e-05  4.68889224e-01  0.00000000e+00]"
1723672562.2820559,"[ 0.00000000e+00 -2.24057601e-01  1.15484971e+00 -3.14151622e+00
 -2.56100756e-01  6.28763369e-05 -4.32927728e-01  1.57079366e+00]","[ 0.00000000e+00  2.14457388e-01  1.44085920e-01  0.00000000e+00
  2.29582862e-01 -1.05820616e-05  4.77463138e-01  0.00000000e+00]"
1723672562.2832701,"[ 0.00000000e+00 -2.23846679e-01  1.15498886e+00 -3.14151622e+00
 -2.55874387e-01  6.28763369e-05 -4.32454218e-01  1.57079366e+00]","[ 0.00000000e+00  2.13917199e-01  1.40990877e-01  0.00000000e+00
  2.29350235e-01 -1.05820616e-05  4.80233325e-01  0.00000000e+00]"
1723672562.2855914,"[ 0.00000000e+00 -2.23409388e-01  1.15526983e+00 -3.14151622e+00
 -2.55406203e-01  6.28763369e-05 -4.31506665e-01  1.57079366e+00]","[ 0.00000000e+00  2.13700451e-01  1.36418038e-01  0.00000000e+00
  2.28199300e-01 -1.05899522e-05  4.79693103e-01  0.00000000e+00]"
1723672562.287266,"[ 0.00000000e+00 -2.22981684e-01  1.15553068e+00 -3.14151622e+00
 -2.54950270e-01  6.28763369e-05 -4.30517567e-01  1.57079366e+00]","[ 0.00000000e+00  2.17698572e-01  1.30727179e-01  0.00000000e+00
  2.32824029e-01 -1.05820616e-05  4.84484662e-01  0.00000000e+00]"
1723672562.2890034,"[ 0.00000000e+00 -2.22752653e-01  1.15565838e+00 -3.14151622e+00
 -2.54719108e-01  6.28763369e-05 -4.30041927e-01  1.57079366e+00]","[ 0.00000000e+00  2.15660871e-01  1.29515433e-01  0.00000000e+00
  2.34444612e-01 -1.05819570e-05  4.82394081e-01  0.00000000e+00]"
1723672562.2901275,"[ 0.00000000e+00 -2.22322818e-01  1.15591511e+00 -3.14151622e+00
 -2.54238141e-01  6.28763369e-05 -4.29100765e-01  1.57079366e+00]","[ 0.00000000e+00  2.17477996e-01  1.23974743e-01  0.00000000e+00
  2.35525007e-01 -1.05899522e-05  4.75911747e-01  0.00000000e+00]"
1723672562.2918932,"[ 0.00000000e+00 -2.21895647e-01  1.15615293e+00 -3.14151622e+00
 -2.53769424e-01  6.28763369e-05 -4.28116994e-01  1.57079366e+00]","[ 0.00000000e+00  2.15537783e-01  1.19383087e-01  0.00000000e+00
  2.38766174e-01 -1.05819570e-05  4.82394081e-01  0.00000000e+00]"
