"id","condition","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P23","F",0.148513673,1.094789357,2.684712268,59.86629661,0.142990715,0.275111089,0.013899824,0.369242678,7.875137091
"P23","G",0.258384745,1.100481883,3.984599217,61.38236277,0.26437266,0.27230779,0.141162669,0.356778162,8.385607481
"P23","H",0.597562302,2.975754585,8.830714515,63.12690877,0.049036846,0.255164013,2.85e-05,0.375153052,3.080022812
"P24","A",1.906675216,9.685441542,70.55962469,859.5517163,0.392271103,0.371031852,0.074527938,0.327980208,6.364259958
"P24","B",2.319770683,9.542990231,26.30876124,477.6033811,0.061331825,0.262092565,0.034959893,0.303494241,3.894692898
"P24","C",2.434645289,6.679131658,26.80589524,104.0865082,0.067773743,0.345220943,0.019276786,0.363634702,2.179163694
"P24","D",3.405113192,10.370355,93.63889438,666.7496258,0.886828758,0.41539629,0.446177431,0.377195532,5.305562019
"P24","E",2.963300873,10.17963523,68.17538246,498.7810906,3.441715814,0.524578325,0.599910536,0.672407847,9.47305584
"P24","F",1.811006013,8.449207046,16.19681816,106.230291,0.180722473,0.317845344,0.022285121,0.362314862,6.271368027
"P24","G",1.546352755,5.830609635,19.04986788,118.006864,0.048738425,0.296506186,0.028823079,0.319478083,4.197037458
"P24","H",1.952257417,10.44021763,39.97122778,591.1875852,0.966541819,0.399786779,0.163677101,0.514492964,7.309008598
"P25","A",0.90175714,2.943177871,13.90867969,65.94374096,0.094815123,0.387645559,0.033312997,0.323246322,2.031748056
"P25","B",1.041442354,7.585753099,21.83843068,378.7733761,0.23377731,0.29445924,0.041366933,0.380813288,5.328083277
"P25","C",0.403570685,1.925755104,5.930142312,64.77121405,0.026582265,0.293095697,0.046284036,0.342420471,2.476014853
"P25","D",1.780053566,5.765300783,21.34260321,66.16891031,0.180909693,0.277369481,0.098623565,0.339727609,3.386697292
"P25","E",2.963148201,9.693255776,39.55874303,518.6402521,0.374831252,0.313654722,0.1667999,0.325371021,4.322594166
"P25","F",0.863849015,4.8264,13.00714449,66.80175177,0.040905718,0.271222292,0.039185114,0.334565222,4.227174282
"P25","G",0.459841582,1.858176925,6.352638597,66.57331584,0.128799795,0.297672843,0.023370454,0.344081972,5.759992599
"P25","H",1.501265739,4.814089696,20.84339821,116.0204436,0.088431968,0.316084235,0.041321205,0.340270019,3.465269327
"P26","A",1.147377567,3.789905982,12.75005368,65.63870214,0.320903805,0.359510744,0.018004056,0.407249549,5.873069525
"P26","B",0.227673414,2.119724165,3.534180395,66.74595383,0.14018576,0.270708801,0.009292662,0.257987154,8.868609428
"P26","C",0.886190042,3.734121771,12.75859577,120.1667156,0.08910264,0.347828492,0.035387568,0.326248698,3.596786499
"P26","D",1.886904381,9.873989893,22.18858005,507.2408214,2.367160949,0.466454014,0.459425092,0.45312408,29.20131087
"P26","E",1.539124416,9.814018028,18.40338983,545.7471043,0.726073484,0.350703046,0.361601935,0.316583295,13.31117511
"P26","F",0.170132012,0.564503717,0.395274117,3.514103976,0.70051883,0.385143217,6.02e-05,0.387416107,13.67274141
"P26","G",0.368019466,1.161450279,4.396257026,61.59179538,0.192309253,0.360977614,0.010471874,0.328318195,6.885729551
"P26","H",1.909108955,9.718838581,41.11020058,552.5080697,0.456707887,0.397202693,0.098199903,0.392773549,2.957719326
"P27","A",1.447232725,9.98160324,20.19867468,650.8869057,0.581532721,0.387648337,0.0250273,0.409545784,7.497225285
"P27","B",0.145614032,1.087941492,2.973903063,65.32992267,0.107400714,0.290058431,0.009176232,0.294073535,6.288664103
"P27","C",1.464374456,7.47326897,14.3582447,125.8365594,0.044823794,0.293302052,0.009025629,0.320531876,4.354746342
"P27","D",1.301440224,5.794402652,15.61708819,93.8001485,0.950453851,0.365675599,0.06639775,0.740192508,11.70031977
"P27","E",3.180346778,10.45550633,41.20906913,519.704276,2.347703431,0.319168916,0.638699637,0.679345636,9.447983742
"P27","F",1.530829975,10.15587046,14.08350181,464.0775044,0.732987598,0.302682032,0.04925339,0.650690542,10.39679384
"P27","G",0.268291791,2.122130007,5.113475191,63.34536528,0.179611704,0.277226442,0.009136416,0.366888054,8.582798243
"P27","H",3.342154586,10.63515904,74.46386419,471.7457264,1.178979149,0.290100889,0.454474618,0.363935138,5.771688938
"P28","A",2.644857744,9.643315881,34.07957739,511.672049,0.08552437,0.337301665,0.023202312,0.331805232,3.361457825
"P28","B",0.52824842,2.818162048,7.215877203,64.12563325,0.201990841,0.377374373,0.017859236,0.293455447,4.645219088
"P28","C",0.54172409,2.98606142,9.602245039,64.81564853,0.010106664,0.269178908,0.012244639,0.331175717,3.307669401
"P28","D",1.427983728,10.21502076,15.63680624,472.2160486,1.097075677,0.471741755,0.437028196,0.387854162,7.734876871
"P28","E",0.818199473,3.468816925,9.90237018,65.27664755,2.334741235,0.365056581,0.500805857,0.382743008,9.859050512
"P28","F",1.78862488,7.79609708,18.15221462,106.8578721,0.56567853,0.320048862,0.020663424,0.527907975,6.660697937
"P28","G",0.257017787,1.188411283,4.328685971,60.13129785,0.106766614,0.327642818,0.024068581,0.324068287,5.4754529
"P28","H",1.77233413,9.537039565,17.5790416,107.5046799,0.109318265,0.323087907,0.02228943,0.36048768,2.972788811
