"id","condition","AvgVelocity","PathLengthDifference","RangeZ","TimeElapsed"
"P28","E",0.818199473,2.334741235,0.382743008,9.859050512
"P28","F",1.78862488,0.56567853,0.527907975,6.660697937
"P28","G",0.257017787,0.106766614,0.324068287,5.4754529
"P28","H",1.77233413,0.109318265,0.36048768,2.972788811
"P29","A",0.809984468,0.332915151,0.402404203,6.409816504
"P29","B",0.299212788,0.130632023,0.360108834,8.843194246
"P29","C",0.439362358,0.116431677,0.366063071,6.425683498
"P29","D",0.654087939,0.532837692,0.362057042,12.74642134
"P29","E",0.31335001,0.722286702,0.381463875,13.73407078
"P29","F",0.524567234,0.550562593,0.317726245,15.71796107
"P29","G",0.157331446,0.203786742,0.371579292,11.44207096
"P29","H",0.638133083,0.138794975,0.367150057,4.169175386
"P2","A",3.541723263,0.125094239,0.061336218,1.215321064
"P2","B",0.279755961,0.013079155,0.051347179,4.517155647
"P2","C",0.186484821,0.008462132,0.03952059,2.838988781
"P2","D",2.915067495,0.45449038,0.086119965,6.466398001
"P2","E",4.053970626,0.202492722,0.1137957,5.192450047
"P2","F",1.591466181,0.082069808,0.227548761,4.200867653
"P2","G",1.477630508,0.13060491,0.05653212,7.80042243
"P2","H",1.884178481,0.464723846,0.063008721,4.732845545
"P30","A",1.114526965,0.249900106,0.373523783,4.316014528
"P30","B",0.819386653,0.167265604,0.372973445,5.66017127
"P30","C",0.788782687,0.040816104,0.365277339,3.791661739
"P30","D",1.2888468,0.215173689,0.373863587,10.4644599
"P30","E",2.615339407,0.89390792,0.393702631,8.421699524
"P30","F",0.793091361,0.156518063,0.374119458,4.747181177
"P30","G",0.335308496,0.152036936,0.147760119,6.749697447
"P30","H",0.675925682,0.258108166,0.336443337,3.741933346
"P31","A",0.429126419,0.67466305,0.326169802,5.045120716
"P31","B",0.135117488,0.682636794,0.41655444,14.86819458
"P31","C",0.234743748,0.123470296,0.303888982,3.961051226
"P31","D",0.205655876,0.719357907,0.41466813,19.47519922
"P31","E",0.647440591,3.788922756,0.533306854,17.28644848
"P31","F",0.089617251,0.304953322,0.304699227,26.50812149
"P31","G",0.233042147,1.668439028,0.326365983,15.01335144
"P31","H",0.46222961,2.120520919,0.379334639,12.0092783
"P3","A",2.276503016,0.03261528,0.043321565,1.678063869
"P3","B",0.691824262,0.049886436,0.197269591,8.149719954
"P3","C",0.28830202,0.024086829,0.347555741,3.332084179
"P3","D",2.516026142,2.282165061,0.652317059,5.222016096
"P3","E",2.401138496,4.682718969,0.818558134,7.70599556
"P3","F",0.873457051,0.679249143,0.273322815,5.03436923
"P3","G",0.467674397,0.887846542,0.552229169,8.870667219
"P3","H",1.035021177,1.367983952,0.213323362,4.633788109
"P4","B",0.27099239,0.761875708,0.378242885,13.96394372
"P4","C",0.289867238,0.02029102,0.23506774,3.849364758
"P4","D",0.356016092,0.135099745,0.175910742,2.525736094
"P4","E",0.389737919,0.592387971,0.377904853,8.020633698
"P4","F",0.707306843,0.221243259,0.365619352,10.18918347
"P4","G",1.21699697,0.776794192,0.525527715,10.35797763
"P4","H",1.523187887,0.515837276,0.516544435,5.18379879
"P5","A",0.523729461,0.255668075,0.377527703,3.215250731
"P5","C",0.195393179,0.017404439,0.325122358,2.763525724
"P5","D",1.574058855,0.321548856,0.387071006,3.361158848
"P5","E",0.399441365,0.896149535,0.630604375,8.198675632
"P5","F",0.34208757,0.387914524,0.363084039,3.836488485
"P5","G",0.194796296,0.035104713,0.294696035,3.635298014
"P6","C",0.518985902,0.067135659,0.315109216,3.253656626
"P6","D",2.764239144,0.707076316,0.370073003,5.848820448
"P6","G",0.975971514,0.144951347,0.327187346,5.271612406
"P7","A",1.854812131,0.111109373,0.364500853,3.468547344
"P7","B",0.656997816,0.011788937,0.350072857,3.566918135
"P7","C",1.052789086,0.016925421,0.336375469,2.243033886
"P7","D",0.65549915,0.928839282,0.384003348,11.22141933
"P7","E",3.733116647,0.338776441,0.368244336,5.538336754
"P7","F",1.052392442,0.072456144,0.364398149,3.084240198
"P7","G",0.9161798,0.053409181,0.374558573,3.951260805
"P7","H",1.305508494,0.071198023,0.374889816,2.527024508
"P8","A",0.508825338,1.331196816,0.445158612,6.512678623
"P8","B",0.287846228,0.480722636,0.379120502,9.220123768
"P8","C",0.611837131,0.041507441,0.073656626,2.07466507
"P8","D",0.987039771,1.738661145,0.696435943,7.442134619
"P8","E",2.103549546,1.764188799,0.701552373,15.67313719
"P8","F",0.921400824,0.89834021,0.539908461,15.98009491
"P8","G",0.697628207,0.593856946,0.378344255,14.08519292
"P8","H",1.337237156,0.508881707,0.37038285,3.618781805
"P9","A",2.93921035,0.252602305,0.434001439,2.979266405
"P9","B",0.550801227,0.042255656,0.296067737,2.949056149
"P9","C",0.586666512,0.026782394,0.327404243,3.102148533
"P9","D",1.520405724,0.373566331,0.288067678,7.030106544
"P9","E",2.214123959,0.118554678,0.342220725,2.642642021
"P9","F",1.805974761,0.098954271,0.373307638,4.794533968
"P9","G",0.480762199,0.051892593,0.320468113,3.68376565
"P9","H",2.540559438,0.123478496,0.360439533,2.150821447
