"id","condition","Yaw","Pitch","Roll","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","COGZ","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P27","H",90.50615411,-3.450749893,122.1658187,3.342154586,10.63515904,74.46386419,471.7457264,0.327222714,1.178979149,0.290100889,0.454474618,0.363935138,5.771688938
"P28","A",89.46727238,0.637845352,126.0629795,2.644857744,9.643315881,34.07957739,511.672049,0.321919686,0.08552437,0.337301665,0.023202312,0.331805232,3.361457825
"P28","B",88.28263991,-1.52824766,96.27603425,0.52824842,2.818162048,7.215877203,64.12563325,0.311956845,0.201990841,0.377374373,0.017859236,0.293455447,4.645219088
"P28","C",90.39991553,-0.114727267,117.052173,0.54172409,2.98606142,9.602245039,64.81564853,0.317159843,0.010106664,0.269178908,0.012244639,0.331175717,3.307669401
"P28","D",41.03147348,-45.44054208,87.8358923,1.427983728,10.21502076,15.63680624,472.2160486,0.257692836,1.097075677,0.471741755,0.437028196,0.387854162,7.734876871
"P28","E",84.2045677,-6.726924427,119.8665257,0.818199473,3.468816925,9.90237018,65.27664755,0.312921818,2.334741235,0.365056581,0.500805857,0.382743008,9.859050512
"P28","F",89.00080267,-3.636811625,139.6295334,1.78862488,7.79609708,18.15221462,106.8578721,0.358245356,0.56567853,0.320048862,0.020663424,0.527907975,6.660697937
"P28","G",86.793858,-2.658124055,110.6999523,0.257017787,1.188411283,4.328685971,60.13129785,0.335866736,0.106766614,0.327642818,0.024068581,0.324068287,5.4754529
"P28","H",90.03318336,-0.536885844,129.0992672,1.77233413,9.537039565,17.5790416,107.5046799,0.316996956,0.109318265,0.323087907,0.02228943,0.36048768,2.972788811
"P29","A",81.23451952,0.067559699,64.96604073,0.809984468,4.797214811,9.260237134,63.08260536,0.278394614,0.332915151,0.380153485,0.16924854,0.402404203,6.409816504
"P29","B",82.40798839,0.446863424,92.77996441,0.299212788,1.862001843,5.335592493,63.52329223,0.261153527,0.130632023,0.328887158,0.134391259,0.360108834,8.843194246
"P29","C",88.77784949,0.001465999,97.82201562,0.439362358,2.123814229,7.426241011,61.13377823,0.276966052,0.116431677,0.268382829,0.026261931,0.366063071,6.425683498
"P29","D",93.1054754,1.736232443,90.69176758,0.654087939,3.723615752,9.687868215,64.34990292,0.295691677,0.532837692,0.275764055,0.256475252,0.362057042,12.74642134
"P29","E",90.11525951,0.018237035,111.9224253,0.31335001,1.884176559,3.246973229,61.05241492,0.303032947,0.722286702,0.365921664,0.037454853,0.381463875,13.73407078
"P29","F",89.92033047,-0.001694483,72.29845537,0.524567234,3.726641559,5.631555034,60.72533509,0.359891391,0.550562593,0.50771559,0.015794728,0.317726245,15.71796107
"P29","G",89.23434858,0.00063023,99.12360011,0.157331446,1.076193042,2.165702766,60.64318706,0.287190832,0.203786742,0.264279033,0.024827635,0.371579292,11.44207096
"P29","H",89.33332928,-0.000186769,95.85423517,0.638133083,3.062616731,9.864592772,65.36705569,0.339119406,0.138794975,0.303445795,0.03091482,0.367150057,4.169175386
"P2","A",92.41964894,0.012494232,85.89397998,3.541723263,9.538661063,51.25420127,489.7029926,0.36236303,0.125094239,0.251226229,0.047412156,0.061336218,1.215321064
"P2","B",90.53571246,0.009395386,91.0568379,0.279755961,2.645756041,5.349569232,64.34089219,0.381151548,0.013079155,0.281303236,0.00761519,0.051347179,4.517155647
"P2","C",90.99256405,-0.09850273,87.23487647,0.186484821,1.113307129,4.086523755,64.11061619,0.381469716,0.008462132,0.343111723,0.022574901,0.03952059,2.838988781
"P2","D",94.1511345,-6.293689638,81.79877156,2.915067495,9.712620969,75.48314132,629.4668531,0.386321887,0.45449038,0.326997971,0.232375395,0.086119965,6.466398001
"P2","E",106.2021498,2.655819282,86.60321038,4.053970626,9.696041895,59.99233854,540.6315074,0.394725486,0.202492722,0.331387922,0.160699182,0.1137957,5.192450047
