id,condition,Yaw,Pitch,Roll,TwistX,TwistY,TwistZ,AvgVelocity,MaxVelocity,AvgAccel,MaxAccel,AvgArea,COGZ,PathLengthDifference,RangeX,RangeY,RangeZ,TimeElapsed,Joint7_Distance,Joint6_Distance,Joint5_Distance,Joint4_Distance,Joint3_Distance,Joint2_Distance,Joint1_Distance
P11,D,100.2006633,1.307915308,110.1908939,0.049255325,0.009823177,-0.053381674,1.609189731,5.893502515,16.74644452,99.883243,0.122491504,0.280484872,0.48259314,0.328439353,0.204887625,0.390729039,6.676415443,0.451040143,1.438435842,0.00024738,1.78754489,1.013486139,0.454591126,9.66E-05
P11,E,91.68263387,0.00994031,94.45621856,0.117774558,0.015094913,-0.123545243,0.370562455,1.421925733,2.53456746,60.73260147,0.114530942,0.285588529,0.144315802,0.334236098,0.054121221,0.375092567,2.823129892,0.086181158,1.320316212,0.00011059,1.483802307,0.000155063,0.083775927,9.30E-07
P11,F,90.97055396,0.484522056,95.69799391,0.018190619,0.006500347,0.001821899,0.37663196,2.676512893,5.059233382,64.05729335,0.118776382,0.239888663,0.122480538,0.107495483,0.043881002,0.064343743,5.515105247,0.060169133,0.2085131,0.00010172,0.4925074,0.060513515,0.776957995,1.54E-05
P11,G,92.56443036,0.184650732,105.3851751,0.068561192,0.006068663,-0.079787579,0.715496316,2.922533221,10.48515533,64.089945,0.120602456,0.29831443,0.118756746,0.294244056,0.027298198,0.37569752,4.261959791,0.029076936,1.15294785,6.95E-05,1.22097892,0.009910688,0.052031141,2.38E-05
P11,H,102.2214186,4.668955652,95.17247149,0.120752648,0.027118647,-0.129079086,1.507535285,9.655533953,25.51109733,487.8853717,0.112332266,0.291250066,0.192587727,0.316733737,0.114033017,0.349340725,2.589864492,0.300906487,1.256731666,0.0002085,1.37088507,0.324885188,0.630760509,6.28E-05
P12,A,92.22734724,-0.695726339,87.11154349,0.073712844,0.0071394,-0.048460253,2.514987844,9.81050723,30.41792002,482.851626,0.116679687,0.385915577,1.047549599,0.363361291,0.211743536,0.534950345,4.975732327,0.762012906,1.463242225,0.00034933,1.45766551,0.768305445,0.369541301,0.00020256
P12,B,92.22682416,0.655433472,90.73505371,0.047922472,0.004418683,-0.03404969,1.206937942,4.900767035,13.43401452,84.46674332,0.121311911,0.3507693,0.584043411,0.343052517,0.218909336,0.322186312,6.92685771,0.912169959,1.1173028,0.00546933,1.19422666,0.319449565,0.514715316,7.00E-05
P12,C,92.00161927,2.079768047,92.30182789,0.013038963,0.007892808,-0.012740838,1.735843866,7.289400329,19.7908671,118.0760226,0.114053585,0.416414093,0.600964517,0.065427114,0.304476955,0.04168418,2.563704729,1.27634434,0.125002927,0.0035825,0.16443101,0.177495612,0.002584808,3.83E-05
P12,D,103.6470812,6.486610645,98.1228765,0.027137949,0.001532189,-0.027931799,1.654087103,9.760232303,18.51935455,123.2166264,0.129722034,0.397786102,2.326351824,0.510292269,0.954607636,0.421488319,10.05303645,4.02609326,1.414884928,0.00063953,1.05759793,0.954060069,0.388008288,0.00013718
P12,E,97.80636813,-5.891173364,87.67429396,0.022005617,0.001527268,-0.026946722,3.139833804,9.859073934,61.23243752,515.0695946,0.114771226,0.365314259,1.704082256,0.405170747,0.597434747,0.42716751,11.70675516,3.398089146,2.216045629,0.00066637,1.48779967,2.748397189,0.84548448,2.1982163
P12,F,96.40222886,0.296819175,93.47930011,0.028505051,0.002255698,-0.031273649,0.76330663,5.816022909,6.330688057,111.5550398,0.114218676,0.36452062,1.290401807,0.39550242,0.492415182,0.309166683,9.712405682,2.520267785,1.094873539,0.00026603,1.03066971,0.097293312,0.820329196,4.13E-05
P12,G,95.4188962,3.828787688,89.4019594,0.031359116,0.000485427,-0.035538809,1.159217083,3.69315323,15.82607395,64.86966935,0.120744244,0.405560635,0.963052916,0.316644944,0.379514887,0.435673011,8.243785381,1.83180953,1.455259688,0.0004237,1.05602408,0.287274419,0.171760994,8.02E-05
P12,H,99.87610641,8.027390544,93.25224318,0.073905681,0.008298653,-0.074580828,1.655701734,6.466494986,20.59799293,66.70333422,0.117389752,0.389269045,1.082405385,0.354484867,0.489182434,0.303743584,3.845281363,2.184004116,1.23563553,0.00053309,1.09184649,1.013977755,0.047254072,4.52E-05
P13,A,95.11708564,1.136643981,117.5652235,0.085465856,0.020562992,-0.019869924,2.803768575,9.535501491,40.07302001,479.5499528,0.130722433,0.331688198,0.471437174,0.34514437,0.086913474,0.369291364,3.93322134,0.123378396,1.43454451,0.00013403,1.470377842,0.158833559,1.279272727,0.00017026
P13,B,94.75031086,0.2742873,119.5423736,0.049979759,0.01119987,-0.059651528,1.006967538,5.843508568,10.83373477,105.0076408,0.135031025,0.322800602,0.148578626,0.26275376,0.05950698,0.367776062,5.207005978,0.077884639,0.947463918,7.56E-05,1.04622231,0.012477334,1.31147824,4.18E-05
P13,C,93.11591668,0.263479095,99.15646435,0.114001474,0.021190296,-0.137999805,4.305290469,9.547454587,42.61616888,476.4448611,0.125743111,0.322077789,0.010233695,0.282513626,0.050938164,0.340181161,2.420519352,0.064726535,1.040904242,5.99E-05,1.04635679,0.0101257,0.296756238,0.00014303
P13,D,94.45486357,-3.899526337,98.64674762,0.052651642,0.010950616,-0.074421757,3.153066833,9.673910414,63.37599093,499.5425041,0.119756353,0.332599094,0.286927738,0.25931764,0.169011278,0.373680076,4.957189798,0.22151249,1.089355596,25.1329108,1.03910927,1.954774548,0.642386469,0.61200289
P13,E,95.02018903,-0.251855225,107.174547,0.107542508,0.004360929,-0.136978186,2.409824675,9.583238024,32.52721176,513.7632834,0.12099917,0.281963723,0.110262866,0.279994577,0.039963523,0.351046063,2.56423068,0.186036185,1.070566134,7.27E-05,1.12678454,0.026827267,0.564120354,0.00014091
P13,F,94.36617438,0.260161966,96.15461764,0.0566397,0.009582839,-0.0696677,2.260940513,9.570771332,22.87916868,487.642053,0.11100981,0.28615391,0.155182885,0.300694083,0.054317825,0.38017533,5.329246759,0.0936932,1.215140534,0.00011641,1.24418969,0.051173363,1.813835087,0.00013086
