id,condition,Joint7_Distance,Joint6_Distance,Joint5_Distance,Joint4_Distance,Joint3_Distance,Joint2_Distance,Joint1_Distance
P14,B,0.043438821,0.794351848,8.30E-05,0.8565019,0.002524765,0.010758371,9.30E-07
P14,C,0.08637058,1.020542428,9.08E-05,1.02473319,0.011514618,0.060869211,1.05E-05
P14,D,0.569682023,1.102304653,0.00018939,1.09111468,0.00017976,0.149615544,2.00E-05
P14,E,0.78639936,1.399844095,0.00018581,1.41402002,0.605798675,1.425082815,0.00198013
P14,F,0.138639905,1.392694024,9.82E-05,1.14994895,6.87E-05,0.000234959,1.34E-05
P14,G,0.596471302,1.274444528,0.0001865,1.25877425,0.146104178,0.215366115,5.66E-06
P14,H,0.168628697,1.500421982,0.00013102,1.364065277,0.000119877,0.252358746,0.00013794
P15,A,0.125990483,1.44252385,0.00013072,2.02128332,0.14115371,0.5783037,0.05143508
P15,B,0.0571129,1.100177342,0.00015847,1.14870448,0.150336788,0.283567065,0.00015213
P15,C,0.077724867,0.996097471,0.00015041,1.25856787,0.019942218,0.897711234,1.63E-05
P15,D,0.14073956,0.958135672,0.00010376,1.31769698,0.247979831,1.406681159,0.10142815
P15,E,0.655426852,1.27274895,0.00018783,1.69758863,2.791004043,0.985369131,0.3293486
P15,F,0.036970514,0.927296975,6.88E-05,1.15708145,0.137643426,0.696899983,3.52E-05
P15,G,0.036894208,1.048628412,0.00016306,1.05689836,0.104144232,0.247745753,0.0001663
P15,H,1.081771175,3.789919968,0.00052022,6.62480311,0.189569605,1.035133158,0.08694754
P16,A,0.029411418,1.245597226,0.00010623,1.75648709,0.032115133,0.020720603,7.75E-06
P16,B,0.092387586,0.968552623,0.000147,1.03164787,0.00018118,0.462411787,3.90E-05
P16,C,0.170660157,1.233500417,0.00013294,1.47016214,0.051261127,0.911449069,5.23E-05
P16,D,0.342235178,1.742503464,0.00018951,1.9803077,0.325131008,0.388598903,1.26E-05
P16,E,2.630812206,2.321798043,0.00019932,3.64321475,0.157250535,1.069818617,2.45E-05
P16,F,0.077350146,1.963820674,0.00019349,2.54895409,0.157950076,1.335395435,2.95E-05
P16,G,0.056864443,1.195808268,6.66E-05,1.395592014,6.33E-05,0.234709182,0
P16,H,0.128541987,1.510784384,8.41E-05,1.52792929,0.025089025,0.076249939,2.01E-05
P17,A,0.067959561,1.517925179,0.00016577,2.20344809,0.075628819,0.74359683,1.87E-06
P17,B,0.283416985,0.683668269,0.00010132,1.15739678,0.024076609,7.24E-05,9.50E-07
P17,C,0.072267553,1.249213434,9.14E-05,1.67659813,0.009928796,0.785534183,1.30E-05
P17,D,0.065155317,0.805959638,9.01E-05,0.4099361,0.027610722,0.151401309,4.00E-08
P17,E,0.899102394,1.447175572,0.00010849,2.085643152,0.023590477,0.727885109,5.10E-06
P17,F,0.066834516,1.527834857,0.00011241,1.831316861,0.000257301,0.818234368,2.19E-05
P17,G,0.088463822,1.23007572,7.75E-05,1.64066517,0.011784777,0.857330228,7.00E-08
P17,H,1.055787684,1.492721177,9.44E-05,2.0375502,0.103898789,0.224864091,1.13E-06
P18,A,0.090771183,1.234595978,7.22E-05,1.568606145,0.000277433,0.281827355,2.12E-06
P18,B,0.060957755,0.884203902,9.61E-05,1.03609857,0.008737157,0.680475745,4.74E-06
P18,C,0.076127211,0.90768254,9.60E-05,1.09598027,0.009920848,1.034977907,2.70E-07
P18,D,1.699318672,1.294911923,0.00024762,1.85137393,0.235482042,2.135727752,9.13E-05
P18,E,1.327652144,1.785677064,0.00035045,2.36899926,1.138816158,4.085558181,0.00014397
P18,F,0.042113556,1.034175786,0.00010362,1.60733195,0.157030619,1.75940413,3.35E-06
P18,G,0.082840873,1.168952152,7.84E-05,0.91078087,0.008512182,0.346931791,1.87E-06
P18,H,0.093204986,0.970694968,0.00014439,1.48037668,0.307258995,1.698310089,4.12E-05
P19,A,0.076178658,0.620734582,3.22E-05,1.173248431,6.13E-05,1.53E-05,0
P19,B,0.068555093,0.729846353,0.00018177,0.83780144,3.46E-05,9.33E-05,0
P19,C,0.069717316,1.053244959,8.57E-05,1.29415675,0.013643908,0.841509999,4.21E-05
P19,D,0.223445453,1.838876416,0.00020891,1.7379989,0.72350644,2.213028266,0.12724635
P19,E,3.394347319,2.261732786,0.00034285,5.04732437,0.119569543,0.007455038,2.11E-06
P19,F,0.065586706,1.212726642,0.00016833,1.47021573,0.01388924,1.695515564,9.32E-05
P19,G,0.057856959,0.897123034,0.00023824,1.14266868,0.000175769,0.977694152,6.51E-06
P19,H,0.049218406,1.088674191,0.00012353,1.17554195,0.030164011,1.223278645,0.07366649
P20,A,0.141822146,1.37728091,7.30E-05,1.99444081,0.067344841,0.185768266,7.62E-05
P20,B,0.073188476,1.026762399,0.00012133,1.49578521,0.009951708,1.55040177,0.00060905
P20,C,0.060195957,1.158130791,0.00011939,1.56692089,0.1777338,0.865167159,9.65E-05
P20,D,0.11103955,1.33093729,8.61E-05,1.74414678,0.055807801,1.967603406,0.00010019
P20,E,1.728903587,1.222411218,0.00027009,1.23012821,1.547328645,1.08669488,0.0001032
P20,F,0.194671179,1.110037747,0.00017444,1.02055744,0.100921674,1.449643849,6.09E-05
P20,G,0.045584792,1.063052703,8.17E-05,1.21400598,0.010077225,0.208127573,2.93E-05
P20,H,0.078502516,0.993336011,8.87E-05,1.20727402,0.03031767,1.032478991,3.98E-05
P21,D,0.54596669,1.089934551,0.00027146,1.20714536,0.680610629,0.085705974,2.38E-05
P21,E,0.32729987,0.65981291,0.00016803,0.83285039,0.01626126,0.00023959,6.50E-06
P21,F,0.076996781,1.044249036,7.84E-05,1.06085928,9.62E-05,0.018212693,9.30E-07
P21,H,0.071154871,1.077184248,7.47E-05,1.12020785,0.000166688,0.000116979,2.79E-06
P22,A,0.0618609,1.168978779,0.00011352,1.37582575,0.056620771,0.324926034,4.59E-05
P22,B,0.041877202,1.060955177,6.81E-05,0.99453539,0.00720329,0.225843861,8.60E-06
P22,C,0.107796353,2.046843363,0.00012255,2.23056759,0.010421521,0.128808576,1.70E-05
P22,D,1.355827597,1.103766121,0.00023126,1.25311663,1.230946597,0.97892878,0.36701538
P22,E,0.483404205,1.598315108,8.88E-05,1.48667026,0.016322505,0.288471292,1.88E-05
P22,F,0.124446357,1.492594348,0.00013597,1.51658127,0.052392158,0.222813845,4.12E-05
P22,G,0.145404441,1.906748558,0.00014037,2.68873222,0.024907527,1.516040025,4.13E-05
P22,H,0.081112469,2.239175242,0.00015108,3.32786748,0.190722762,1.828855159,5.34E-05
P23,A,0.028307397,1.290578913,0.00011797,1.496180664,0.002711098,0.529876441,4.79E-06
P23,B,0.04702835,0.917331923,0.00013679,1.10759727,3.68E-05,0.361870121,6.52E-06
P23,C,0.052155232,1.173407728,0.00018147,1.09632034,0.000125701,0.134551629,1.03E-05
P23,D,0.401995039,1.217640125,0.00027411,1.3000921,1.773191782,0.77169668,3.04E-05
P23,E,2.385680323,1.232598026,0.00030192,1.19922835,0.191476824,0.637833688,1.58E-05
P23,F,0.031475642,1.20938952,0.00017464,1.13188925,0.019124108,1.336520037,3.93E-06
P23,G,0.488415342,1.162383102,0.00017495,1.11400349,0.000235255,0.857705036,9.45E-06
P23,H,0.000103777,1.14393251,5.09E-05,1.04595705,4.58E-05,0.099274468,1.33E-05
P24,A,0.20272226,1.081498602,0.00027227,1.62734535,0.195445822,2.466843417,0.13383812
P24,B,0.058305114,0.877632746,0.00011245,1.26531416,0.013480016,1.3650441,9.53E-05
P24,C,0.051554529,1.325686694,0.00010814,1.441111035,0.046998407,0.36301828,5.25E-05
P24,D,1.565181846,1.216154543,0.00024038,1.775799,2.650714415,0.198783978,0.11983708
P24,E,3.986467871,3.486064483,0.00092038,4.1880938,2.66508075,4.450088175,0.40817336
P24,F,0.085836213,1.219447347,0.00016088,1.4005378,0.276654295,1.745065999,0.00010749
P24,G,0.089051933,1.02834263,0.00011203,1.14319946,0.032842886,1.108423633,6.09E-05
P24,H,0.594843695,2.294240047,0.00049741,1.67590331,0.52999891,2.183302876,0.0172323
P25,A,0.049085075,1.226806728,0.00010281,1.63973039,0.0111198,0.297115696,1.51E-05
P25,B,0.060773324,1.001908565,7.69E-05,1.20361857,0.030304807,1.031434173,0.00515821
P25,C,0.079922533,1.119635915,5.03E-05,1.1161135,0.013457918,0.030573212,5.63E-06
P25,D,0.339226912,1.024674173,0.00011071,1.05638812,0.306551679,0.788250198,6.11E-05
P25,E,0.608209106,0.970253168,0.00018319,1.23634591,0.948960981,1.189353717,0.00021406
P25,F,0.074076894,1.097175626,0.00011436,1.11362825,0.01630727,0.475816466,3.25E-05
P25,G,0.034260961,0.994949921,0.00012151,1.27982519,0.009898336,1.226261109,1.66E-05
P25,H,0.150738874,1.045036127,0.00025998,1.35676151,0.09319945,1.090792501,4.95E-05
P26,A,0.033746012,1.276156969,0.00011438,1.690300096,0.000262661,1.86616486,5.70E-05
P26,B,0.018436128,0.9605064,0.00015694,1.18880874,5.81E-05,0.0104579,1.13E-05
P26,C,0.078381624,1.086205364,7.69E-05,1.552714795,0.000163642,1.196983786,2.69E-05
P26,D,1.472601007,1.182474463,0.00069732,1.67627411,6.925570088,5.851326702,0.00069538
P26,E,2.213132282,0.961751491,0.00029681,1.52846001,5.697505446,0.59735627,0.00018714
P26,F,0.000224085,1.116644061,6.44E-05,1.19361309,2.99E-05,0.003965378,0
P26,G,0.029525058,0.986342296,0.00010203,1.21112018,0.005171299,1.15254042,9.32E-06
P26,H,0.438920336,1.276956713,25.427249,1.76756479,0.17555368,0.54520773,0.00010267
P27,A,0.096439109,1.483750054,0.00013838,2.094999712,0.222817403,1.239690434,0.00012342
P27,B,0.023082104,1.002394791,0.00014554,1.00512042,0.011244517,0.150008639,5.53E-06
P27,C,0.020598096,0.946522555,0.00011001,1.1287438,0.003486086,0.84086685,6.10E-05
P27,D,0.207384635,1.943541936,0.00021632,1.87588331,0.426177162,2.190206613,0.00014117
P27,E,2.219773632,1.265265832,0.00046723,2.41704979,3.143787165,1.163670019,0.09749059
P27,F,0.228825037,1.733355245,0.00029642,1.19253829,1.686051692,1.243896229,0.00013174
P27,G,0.020037337,0.929836233,0.0002127,1.06478562,0.014906417,0.823976428,1.43E-05
P27,H,1.683585565,1.411816705,0.00050186,1.71731837,1.54494718,1.01758813,0.14578156
P28,A,0.032274153,1.112424661,0.00016695,1.55070732,0.092057674,1.535884016,0.00078666
P28,B,0.059682731,1.084974476,0.00013634,1.46694664,0.080844659,0.788036942,1.47E-05
P28,C,0.026337313,0.938041574,8.43E-05,1.04696559,0.00564772,0.623470635,1.42E-05
P28,D,1.320781441,1.674965388,0.00016616,2.05826184,1.646842695,0.312815055,9.96E-05
P28,E,2.310852855,2.018985941,0.00041637,4.22091991,1.168283621,4.962693056,4.03E-05
P28,F,0.082038122,1.278896883,0.00014861,1.95320739,0.266110183,2.837094695,0.00010927
P28,G,0.064232758,1.026473066,9.13E-05,1.33198855,0.069068012,0.929108127,6.94E-06
P28,H,0.07434794,1.082575742,0.00025429,1.551934758,0.025975373,1.458849087,4.58E-05
P29,A,0.42771325,1.383844237,9.89E-05,1.79623855,0.005437206,1.816714544,3.34E-05
P29,B,0.274763074,1.260211554,0.00019335,1.37092152,0.024773565,0.408854932,1.80E-05
P29,C,0.036212622,1.149039737,0.00015832,1.0464665,0.000132988,0.727871751,1.98E-05
P29,D,0.638409195,1.188649952,0.00032433,1.08609969,1.205222128,1.338386592,6.18E-05
P29,E,0.111983179,1.529583377,0.00025115,1.468734363,0.020339348,1.623486467,1.60E-05
P29,F,0.046865139,1.100216258,0.00027267,1.663904749,0.000324906,1.899142656,5.91E-05
P29,G,0.048873125,1.17296002,0.00018095,1.04434351,0.000155968,0.963937747,3.72E-06
P29,H,0.040978097,1.239535053,6.11E-05,1.25448946,0.000154058,0.193943715,1.81E-05
P2,A,0.070359118,0.720580317,6.26E-05,1.2120632,5.75E-05,0.252418601,5.03E-05
P2,B,0.012616459,0.566859797,9.27E-05,0.94513188,0.000123571,0.388646483,9.32E-06
P2,C,0.030686525,0.702617814,4.88E-05,1.28701894,0.006182262,0.52969661,3.99E-06
P2,D,0.590499842,0.693590936,0.00029754,1.18792565,1.168105468,0.648078152,0.21560611
P2,E,0.397999854,0.701714025,0.00011475,1.18851979,0.55277321,0.468942621,1.40243806
P2,F,0.017786445,0.992341206,0.0001601,1.17078872,0.004834703,1.003336688,6.76E-05
P2,G,0.1446359,0.742623494,0.00017832,1.19675083,0.452476528,0.337457527,0.04372795
P2,H,0.614155073,0.828338165,25.98878689,1.40830005,0.340928611,0.427765064,0.00017996
P30,A,0.060145705,1.33770042,0.00011316,1.76539883,0.014691024,0.459842041,4.10E-05
P30,B,0.019910922,1.123047347,0.00010982,1.089663,0.000147452,0.260925196,3.90E-05
P30,C,0.000171122,1.164595789,6.94E-05,1.21810536,0.000150306,0.102508799,2.58E-05
P30,D,0.146849625,1.199385006,0.0002446,1.53057272,0.856636973,0.337809376,0.0001275
P30,E,1.180158531,1.151249711,0.00020771,1.61964749,2.09160809,0.677756727,0.00032657
P30,F,0.017229261,1.144794839,0.00010107,1.1439241,0.000176163,1.123382738,2.92E-05
P30,G,0.032402723,0.705658858,0.00011212,1.473144074,7.13E-05,0.811025494,1.52E-05
P30,H,0.388578187,1.275597795,0.00012714,1.550413013,0.000211988,0.200527772,1.61E-05
P31,A,0.045324858,1.353630712,6.30E-05,1.747995342,0.000132442,0.08902348,0
P31,B,0.088487036,1.119161303,0.00024518,1.2943435,0.005855301,0.030352689,2.19E-06
P31,C,0.00929308,1.113681765,6.35E-05,1.20168966,6.18E-05,5.03E-05,0
P31,D,0.751548674,1.143065033,0.00041119,1.26112576,0.200095664,2.022493893,8.09E-06
P31,E,3.962828382,2.426180602,0.000429,2.60651038,0.031822893,1.632311604,3.65E-05
P31,F,0.000813684,1.275123778,0.00011099,1.24779681,0.000236293,0.216438683,7.44E-06
P31,G,2.348310829,1.248739704,0.0003171,1.52479952,0.042245602,0.000213024,6.30E-07
P31,H,3.009493915,1.664715152,0.00038753,1.789426176,0.000417118,0.325895218,8.00E-06
P3,A,0.035574628,0.634481851,4.66E-05,1.15961117,4.74E-05,0.122025774,3.89E-05
P3,B,0.01963201,0.989179885,0.000122,1.25183193,7.30E-05,0.000186288,6.38E-05
P3,C,0.004448276,1.162583154,4.36E-05,1.344817255,4.31E-05,0.203882026,5.84E-06
P3,D,3.13122688,1.664750646,0.00028252,1.72959047,0.290647818,0.155080049,0.0001458
P3,E,4.682005953,3.557528323,0.00045365,2.48753603,0.552625871,0.83414028,0.00016275
P3,F,1.670357556,0.861952593,0.26295411,0.77478307,0.287081294,0.023482658,3.17E-05
P3,G,1.495711134,1.825485949,0.00016086,1.23789219,0.051816697,0.236167414,7.22E-05
P3,H,2.716159899,1.181641806,12.56693284,1.34952919,0.46478139,0.083059596,2.37E-05
P4,B,0.058723114,1.715690388,0.0001963,1.67543729,9.42E-05,0.000401806,2.17E-05
P4,C,0.076613286,0.861797917,4.34E-05,0.9795551,2.95E-05,0.000125434,6.51E-06
P4,D,0.016149594,0.688780539,3.76E-05,1.02247516,2.00E-05,0.000105395,9.30E-07
P4,E,1.059999543,1.105056405,0.00015554,0.9792164,0.000209492,0.000139282,1.24E-05
P4,F,0.136112185,1.12300771,0.00027578,0.93311388,0.00026142,0.766918225,6.36E-05
P4,G,0.325341994,1.852980599,0.00017273,3.42433807,0.000228106,2.571587811,0.00216516
P4,H,0.197781789,1.091571675,0.00046526,1.91192539,0.000234612,0.104916563,8.56E-05
P5,A,0.102104976,1.211036387,8.87E-05,1.657899543,4.85E-05,0.136393261,7.45E-06
P5,C,0.088067541,1.04847894,7.96E-05,1.00768209,3.52E-05,0.027233222,2.79E-06
P5,D,0.082024296,1.087108873,0.00015767,1.26479727,7.04E-05,0.040223917,5.57E-05
P5,E,0.812353876,1.335850113,0.00013548,1.336153981,9.99E-05,0.179978356,1.81E-05
P5,F,1.046906735,1.189213305,0.00015133,1.1953098,8.28E-05,0.000137087,1.88E-06
P5,G,0.141309459,1.018647403,6.65E-05,1.02634366,4.47E-05,0.000134557,2.79E-06
P6,C,0.037650421,1.116673173,5.67E-05,1.27683128,9.42E-05,0.00120808,1.40E-05
P6,D,0.978852066,1.216402791,0.00028913,1.4446629,1.108080811,0.28112341,0.10703503
P6,G,0.018911107,1.277985296,25.13285414,1.708880687,0.000126766,1.119043052,4.21E-05
P7,A,0.085175354,1.234100353,0.00015425,1.43304699,0.013445759,0.837403231,7.50E-05
P7,B,0.04957794,1.095426104,9.32E-05,1.09884636,0.000124103,0.136904391,1.99E-05
P7,C,0.098530048,0.952888457,0.00011876,1.16382777,0.036805998,0.964081288,1.76E-05
P7,D,0.595685003,1.99994565,0.00031493,2.43903452,1.365813763,0.836643093,5.68E-05
P7,E,0.971654069,1.150190972,0.00693526,1.42669213,1.048884202,1.151336067,0.03594485
P7,F,0.055620235,1.116518934,0.00017279,1.19058188,0.251331226,0.991239752,2.49E-05
P7,G,0.048645288,1.192356099,0.00015209,1.34140068,0.047567234,0.552333949,3.14E-05
P7,H,0.03425253,1.354451097,8.84E-05,1.65825133,0.006267213,0.74713286,2.77E-05
P8,A,0.39403703,1.960972305,0.00039365,2.36667111,0.000204531,0.111543574,7.58E-06
P8,B,0.531605092,1.171966117,0.00014778,1.21095319,0.031310899,0.133331368,1.18E-05
P8,C,0.075809003,0.393763156,25.13857461,0.7294558,0.00577249,0.047622371,1.09E-05
P8,D,0.887414591,2.317829562,0.0002136,2.19011554,0.059385287,0.747090888,4.73E-05
P8,E,1.434460485,1.287737501,0.00038702,1.48209384,0.940214668,2.472535296,1.58969378
P8,F,0.622781705,1.186676179,0.00034967,1.44135709,0.684441471,1.616454428,0.00012116
P8,G,1.18378999,1.094729895,0.00039176,0.98445006,0.000235924,0.000236954,0.00012436
P8,H,0.503688464,1.281712259,25.5741682,1.46620653,0.082825318,0.114680815,4.24E-05
P9,A,0.116412655,1.069446873,0.00010539,1.62785189,0.082789294,1.798345044,8.04E-05
P9,B,0.046371303,0.987243379,0.00012464,1.17094719,0.01015874,0.476844877,1.34E-05
P9,C,0.046172274,0.97310625,0.00015847,1.27864302,0.13983532,1.067236769,1.14E-05
P9,D,0.095371508,1.589753032,0.00025997,1.89965948,0.009442838,2.218394945,0.00012877
P9,E,0.052267682,1.018791503,0.00018299,1.1017636,0.156976884,0.641561699,5.40E-05
P9,F,0.022895718,1.204749229,0.00016913,1.260178,0.042099074,1.074916747,0.00011911
P9,G,0.045208222,0.955478322,7.72E-05,1.24983294,0.010158068,1.03596634,1.15E-05
P9,H,0.083542334,1.065421895,0.00016512,1.642341613,0.000163625,1.632560093,9.13E-05
